[26Jul2026 11:04:28.267] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Axiinyaa, --version, 1.21.1, --gameDir, /home/axii/.local/share/PrismLauncher/instances/dode/minecraft, --assetsDir, /home/axii/.local/share/PrismLauncher/assets, --assetIndex, 17, --uuid, 47dc7b42911348d0bfae31b2b56bcaed, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.243, --fml.fmlVersion, 4.0.43, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[26Jul2026 11:04:28.269] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[26Jul2026 11:04:28.270] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Linux arch amd64 version 7.0.14-201.fc44.x86_64
[26Jul2026 11:04:28.409] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Searching for graphics cards...
[26Jul2026 11:04:28.433] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Found graphics adapter: LinuxPciAdapterInfo[vendor=AMD, name=Navi 22 [Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT], pciVendorId=0x1002, pciDeviceId=0x73df]
[26Jul2026 11:04:28.436] [main/WARN] [Sodium-Workarounds/]: Sodium has applied one or more workarounds to prevent crashes or other issues on your system: [NO_ERROR_CONTEXT_UNSUPPORTED]
[26Jul2026 11:04:28.436] [main/WARN] [Sodium-Workarounds/]: This is not necessarily an issue, but it may result in certain features or optimizations being disabled. You can sometimes fix these issues by upgrading your graphics driver.
[26Jul2026 11:04:28.865] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.21-3.0.9.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.867] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.11-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.868] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "badpackets-neo-0.8.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.869] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.63.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.872] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better-babies-0.7.13.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.874] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better_campfires-2.1.0+1.21.1-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.876] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blueprint-1.21.1-8.1.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.878] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bountiful-neoforge-8.0.0-beta.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.879] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bountifulbaubles-1.2.5.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.882] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "burnt_basic-1.10.3.7-neoforge-1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.883] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "carryon-neoforge-1.21.1-2.2.5.8.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.884] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chat_heads-0.15.3-neoforge-1.21.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.885] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chatanimation-neoforge-1.3.1+mc1.21.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.886] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.887] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-neoforge-1.21.1-19.0.0.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.888] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "collective-1.21.1-8.39.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.890] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comfortable_campfires-2.0.1+1.21.1-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.891] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-neoforge-9.0.5+1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.893] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "continuity-3.0.0+1.21.neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.894] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.21.1-19.0.5.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.896] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.4+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.900] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.10.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.901] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-bundled-1.21.1-1.3.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.902] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Create-Numismatic Bounties-universal.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.904] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_connected-1.3.2-mc1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.906] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createaddition-1.6.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.907] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CreateNumismatics-1.0.20+neoforge-mc1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.909] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createpropulsion-1.1.5.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.911] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createrailgrinding-1.2.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.914] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crittersandcompanions-neoforge-1.21.1-2.6.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.915] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.946] [main/WARN] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Skipping jar. File mods/DAP ur HOMIE (Bully ur Homie).jar is a Fabric mod and cannot be loaded
[26Jul2026 11:04:28.948] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "developer-resources-1.6.3.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.949] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "distraction_free_recipes-neoforge-1.2.1-1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.950] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamiccrosshair-9.11+1.21.1-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.951] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "e4mc-neoforge-6.2.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.952] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.24+1.21.1+neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.953] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_enchanting-0.1.2+1.21+neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.954] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_loot-0.7.9+1.21+neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.955] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_ores-1.3+1.21.1+neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.956] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EMIProfessions-neoforge-1.21.1-1.0.3.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.958] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entity_model_features-3.2.4-1.21-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.959] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entity_texture_features_1.21-neoforge-7.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.959] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-neoforge-1.10.5-mc1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.960] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fallingtrees-neoforge-1.21.1-0.14.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.962] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.21.1-1.3.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.966] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-7.0.3-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.967] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ForgeEndertech-1.21.1-12.1.2.2-NeoForge-build.0879.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.969] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "forgified-fabric-api-0.116.14+2.3.0+1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.970] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-library-neoforge-2101.1.33.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.971] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-quests-neoforge-2101.1.27.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.977] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-teams-neoforge-2101.1.10.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.979] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fzzy_config-0.7.6+1.21+neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.980] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "geckolib-neoforge-1.21.1-4.9.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.981] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "gliders-1.21.1-neoforge-1.1.8.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.981] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "GlitchCore-neoforge-1.21.1-2.1.0.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.982] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "GoldenDandelionBackport-1.21.1-1.0.6.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.983] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Highlighter-1.21-neoforge-1.1.11.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.984] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Iceberg-1.21.1-neoforge-1.3.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.987] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "iChunUtil-1.21-NeoForge-1.0.3.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.988] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ImmediatelyFast-NeoForge-1.6.11+1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.989] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "immersive_melodies-neoforge-0.6.4+1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.991] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "iris-neoforge-1.8.14-beta.1+mc1.21.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.992] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Item-Obliterator-NeoForge-MC1.21.1-2.3.0.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.993] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kambrik-neoforge-8.0.0-beta.2.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.994] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "keep-some-inventory-v2.0.1.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.995] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kissmod-2.0.0-alpha.2+mc1.21.1-neoforge.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.996] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Kiwi-1.21.1-NeoForge-15.8.7.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
[26Jul2026 11:04:28.997] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found library file "kotlinforforge-5.12.0-all.jar" [locator: {mods folder locator at /home/axii/.local/share/PrismLauncher/instances/dode/minecraft/mods}, reader: mod manifest]
